"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000951","서울평화초등학교","02","공립","N","","3","58","19.3","3","52","17.3","2","40","20","2","44","22","3","67","22.3","3","64","21.3","1","5","5","0","0","0","17","330","19.4","23","14.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000952","서울풍납초등학교","02","공립","N","","6","138","23","4","106","26.5","6","136","22.7","6","136","22.7","6","136","22.7","6","135","22.5","2","9","4.5","0","0","0","36","796","22.1","43","18.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000953","서울풍성초등학교","02","공립","N","","3","55","18.3","3","56","18.7","3","61","20.3","3","69","23","2","50","25","3","57","19","1","2","2","0","0","0","18","350","19.4","22","15.9"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000954","서울한산초등학교","02","공립","N","","6","162","27","6","147","24.5","5","134","26.8","7","174","24.9","7","184","26.3","6","147","24.5","1","8","8","0","0","0","38","956","25.2","46","20.8"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001004","서울가곡초등학교","02","공립","N","","6","170","28.3","5","142","28.4","4","112","28","4","128","32","5","149","29.8","6","161","26.8","0","0","0","0","0","0","30","862","28.7","38","22.7"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001005","서울가양초등학교","02","공립","N","","3","79","26.3","3","58","19.3","3","67","22.3","3","71","23.7","4","80","20","3","66","22","0","0","0","0","0","0","19","421","22.2","28","15"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001006","서울갈산초등학교","02","공립","N","","6","149","24.8","5","122","24.4","6","137","22.8","7","174","24.9","8","201","25.1","7","192","27.4","0","0","0","0","0","0","39","975","25","48","20.3"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001007","서울강서초등학교","02","공립","N","","10","286","28.6","7","200","28.6","7","191","27.3","7","196","28","7","180","25.7","7","191","27.3","2","8","4","0","0","0","47","1252","26.6","55","22.8"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001008","서울강신초등학교","02","공립","N","","6","159","26.5","7","167","23.9","6","156","26","6","162","27","6","158","26.3","7","172","24.6","0","0","0","0","0","0","38","974","25.6","48","20.3"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001009","서울강월초등학교","02","공립","N","","6","155","25.8","6","151","25.2","6","154","25.7","6","156","26","7","177","25.3","7","165","23.6","1","5","5","0","0","0","39","963","24.7","49","19.7"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001010","서울개화초등학교","02","공립","N","","2","36","18","2","36","18","2","28","14","2","30","15","2","39","19.5","2","36","18","2","13","6.5","0","0","0","14","218","15.6","19","11.5"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001011","서울경인초등학교","02","공립","N","","4","110","27.5","5","140","28","5","141","28.2","7","204","29.1","7","196","28","7","195","27.9","0","0","0","0","0","0","35","986","28.2","44","22.4"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001012","서울계남초등학교","02","공립","N","","6","163","27.2","6","156","26","6","133","22.2","7","170","24.3","7","170","24.3","8","193","24.1","1","6","6","0","0","0","41","991","24.2","51","19.4"
